date,usdhkd,usdcny,usdhkd_minus_7_80,cu_position
2016-01-25,7.797370,6.569100,-0.002630,inside
2016-01-26,7.794020,6.569400,-0.005980,inside
2016-01-27,7.793030,6.572500,-0.006970,inside
2016-01-28,7.792440,6.567800,-0.007560,inside
2016-01-29,7.793410,6.565200,-0.006590,inside
2016-02-01,7.783230,6.566100,-0.016770,inside
2016-02-02,7.778910,6.568400,-0.021090,inside
2016-02-03,7.793230,6.569800,-0.006770,inside
2016-02-04,7.791500,6.567000,-0.008500,inside
2016-02-05,7.788000,6.554800,-0.012000,inside
2016-02-08,7.789340,6.563900,-0.010660,inside
2016-02-09,7.792400,6.563900,-0.007600,inside
2016-02-10,7.793980,6.563900,-0.006020,inside
2016-02-11,7.791650,6.563900,-0.008350,inside
2016-02-12,7.790280,6.563900,-0.009720,inside
2016-02-15,7.787920,6.563900,-0.012080,inside
2016-02-16,7.785150,6.486200,-0.014850,inside
2016-02-17,7.790550,6.506900,-0.009450,inside
2016-02-18,7.786250,6.518300,-0.013750,inside
2016-02-19,7.778500,6.508800,-0.021500,inside
2016-02-22,7.772240,6.512400,-0.027760,inside
2016-02-23,7.768800,6.511800,-0.031200,inside
2016-02-24,7.768210,6.517100,-0.031790,inside
2016-02-25,7.768630,6.521700,-0.031370,inside
2016-02-26,7.770350,6.523500,-0.029650,inside
2016-02-29,7.776220,6.530400,-0.023780,inside
2016-03-01,7.775090,6.544000,-0.024910,inside
2016-03-02,7.772170,6.542100,-0.027830,inside
2016-03-03,7.772800,6.541000,-0.027200,inside
2016-03-04,7.768680,6.521500,-0.031320,inside
2016-03-07,7.761990,6.498100,-0.038010,inside
2016-03-08,7.765230,6.506800,-0.034770,inside
2016-03-09,7.765450,6.494700,-0.034550,inside
2016-03-10,7.765600,6.503000,-0.034400,inside
2016-03-11,7.762900,6.498600,-0.037100,inside
2016-03-14,7.759160,6.485300,-0.040840,inside
2016-03-15,7.758050,6.490000,-0.041950,inside
2016-03-16,7.759190,6.504500,-0.040810,inside
2016-03-17,7.758430,6.512000,-0.041570,inside
2016-03-18,7.756020,6.465000,-0.043980,inside
2016-03-21,7.754280,6.461600,-0.045720,inside
2016-03-22,7.752950,6.474600,-0.047050,inside
2016-03-23,7.753130,6.480100,-0.046870,inside
2016-03-24,7.755210,6.496300,-0.044790,inside
2016-03-25,7.758580,6.504700,-0.041420,inside
2016-03-27,7.756820,6.526500,-0.043180,inside
2016-03-28,7.757100,6.501000,-0.042900,inside
2016-03-29,7.755700,6.504900,-0.044300,inside
2016-03-30,7.753700,6.455100,-0.046300,inside
2016-03-31,7.755950,6.439000,-0.044050,inside
2016-04-03,7.754030,6.468600,-0.045970,inside
2016-04-04,7.753360,6.468600,-0.046640,inside
2016-04-05,7.756040,6.467300,-0.043960,inside
2016-04-06,7.756180,6.470900,-0.043820,inside
2016-04-07,7.758780,6.453000,-0.041220,inside
2016-04-10,7.758370,6.455800,-0.041630,inside
2016-04-11,7.755100,6.449500,-0.044900,inside
2016-04-12,7.754550,6.455600,-0.045450,inside
2016-04-13,7.756050,6.468400,-0.043950,inside
2016-04-14,7.756500,6.472600,-0.043500,inside
2016-04-17,7.754950,6.465600,-0.045050,inside
2016-04-18,7.754940,6.465200,-0.045060,inside
2016-04-19,7.755150,6.448100,-0.044850,inside
2016-04-20,7.755800,6.460800,-0.044200,inside
2016-04-21,7.757400,6.471900,-0.042600,inside
2016-04-24,7.756450,6.491000,-0.043550,inside
2016-04-25,7.755900,6.483000,-0.044100,inside
2016-04-26,7.755750,6.483500,-0.044250,inside
2016-04-27,7.756800,6.485000,-0.043200,inside
2016-04-28,7.757650,6.465900,-0.042350,inside
2016-05-01,7.756920,6.464100,-0.043080,inside
2016-05-02,7.759350,6.464100,-0.040650,inside
2016-05-03,7.762080,6.481800,-0.037920,inside
2016-05-04,7.762200,6.484800,-0.037800,inside
2016-05-05,7.761150,6.493500,-0.038850,inside
2016-05-08,7.760510,6.490200,-0.039490,inside
2016-05-09,7.763450,6.506900,-0.036550,inside
2016-05-10,7.761500,6.508300,-0.038500,inside
2016-05-11,7.760400,6.482000,-0.039600,inside
2016-05-12,7.760300,6.506800,-0.039700,inside
2016-05-15,7.763940,6.522000,-0.036060,inside
2016-05-16,7.763540,6.521300,-0.036460,inside
2016-05-17,7.761600,6.518600,-0.038400,inside
2016-05-18,7.765480,6.528800,-0.034520,inside
2016-05-19,7.767070,6.537000,-0.032930,inside
2016-05-22,7.768180,6.536700,-0.031820,inside
2016-05-23,7.767250,6.545700,-0.032750,inside
2016-05-24,7.768250,6.547200,-0.031750,inside
2016-05-25,7.764480,6.544100,-0.035520,inside
2016-05-26,7.765560,6.547000,-0.034440,inside
2016-05-29,7.765760,6.553300,-0.034240,inside
2016-05-30,7.768380,6.573300,-0.031620,inside
2016-05-31,7.768850,6.572900,-0.031150,inside
2016-06-01,7.770100,6.565100,-0.029900,inside
2016-06-02,7.770650,6.574500,-0.029350,inside
2016-06-05,7.767980,6.554800,-0.032020,inside
2016-06-06,7.767700,6.553800,-0.032300,inside
2016-06-07,7.766000,6.561500,-0.034000,inside
2016-06-08,7.760350,6.552500,-0.039650,inside
2016-06-09,7.761980,6.552000,-0.038020,inside
2016-06-12,7.762760,6.552000,-0.037240,inside
2016-06-13,7.763100,6.575700,-0.036900,inside
2016-06-14,7.761100,6.586500,-0.038900,inside
2016-06-15,7.760020,6.571800,-0.039980,inside
2016-06-16,7.759100,6.582000,-0.040900,inside
2016-06-19,7.759690,6.578400,-0.040310,inside
2016-06-20,7.760850,6.567100,-0.039150,inside
2016-06-21,7.759050,6.580300,-0.040950,inside
2016-06-22,7.757220,6.567500,-0.042780,inside
2016-06-23,7.756700,6.567300,-0.043300,inside
2016-06-26,7.760020,6.611800,-0.039980,inside
2016-06-27,7.759550,6.641600,-0.040450,inside
2016-06-28,7.758300,6.638100,-0.041700,inside
2016-06-29,7.758750,6.626800,-0.041250,inside
2016-06-30,7.759600,6.638100,-0.040400,inside
2016-07-03,7.757780,6.645700,-0.042220,inside
2016-07-04,7.757950,6.655300,-0.042050,inside
2016-07-05,7.758330,6.669700,-0.041670,inside
2016-07-06,7.758400,6.683000,-0.041600,inside
2016-07-07,7.757900,6.671100,-0.042100,inside
2016-07-10,7.757680,6.678100,-0.042320,inside
2016-07-11,7.758230,6.683900,-0.041770,inside
2016-07-12,7.758420,6.678600,-0.041580,inside
2016-07-13,7.756060,6.676300,-0.043940,inside
2016-07-14,7.754600,6.673600,-0.045400,inside
2016-07-17,7.754100,6.676100,-0.045900,inside
2016-07-18,7.754550,6.704600,-0.045450,inside
2016-07-19,7.755280,6.695400,-0.044720,inside
2016-07-20,7.755750,6.676600,-0.044250,inside
2016-07-21,7.755800,6.674400,-0.044200,inside
2016-07-24,7.757030,6.693900,-0.042970,inside
2016-07-25,7.756700,6.679300,-0.043300,inside
2016-07-26,7.756700,6.669700,-0.043300,inside
2016-07-27,7.756600,6.666800,-0.043400,inside
2016-07-28,7.756200,6.656100,-0.043800,inside
2016-07-31,7.757980,6.642300,-0.042020,inside
2016-08-01,7.760600,6.641500,-0.039400,inside
2016-08-02,7.760220,6.628700,-0.039780,inside
2016-08-03,7.759250,6.630800,-0.040750,inside
2016-08-04,7.755750,6.638700,-0.044250,inside
2016-08-07,7.755270,6.673700,-0.044730,inside
2016-08-08,7.756870,6.660400,-0.043130,inside
2016-08-09,7.756600,6.655200,-0.043400,inside
2016-08-10,7.756400,6.639200,-0.043600,inside
2016-08-11,7.756600,6.626000,-0.043400,inside
2016-08-14,7.756800,6.644900,-0.043200,inside
